Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Rumba,Night Club,40.804531,-73.913446,Mill Brook Houses,10454
Studio Galas,Arts and Entertainment,40.801809,-73.910196,Port Morris,10454
Uptown Rec Room,Arts and Entertainment,40.80138,-73.910092,Port Morris,10454
Platinum Pleasures,Night Club,40.816065,-73.893675,John Adams Houses,10474
Iridescent Learning,Science Museum,40.817162,-73.89096,Hunt's Point,10474
Botanica San Miguel Y Las 21 Divisiones Almacen,Psychics and Astrologers,40.817293,-73.898313,John Adams Houses,10459
More Points BX,Art Gallery,40.811301,-73.885888,Hunt's Point,10474
Club W,Strip Club,40.813441,-73.885,Hunt's Point,10474
Big Pun Memorial Mural,Arts and Entertainment,40.821198,-73.897671,Lewis S Davidson Senior Houses,10459
Gramsci Monument,Public Art,40.823159,-73.903212,,10456
NYC Public Wifi Hotspot,Internet Cafe,40.822068,-73.897441,Lewis S Davidson Senior Houses,10459
City Of N Y - Community Center,Arts and Entertainment,40.823075,-73.865067,Soundview,10473
GMC Entertainment,Arts and Entertainment,40.817029,-73.867076,Soundview,10473
Stadium Cinemas,Movie Theater,40.84216,-73.820172,Schuvilerville,10465
Parkchester Terracotta Statue,Public Art,40.839062,-73.856639,Parkchester,10462
FancyFace Photobooth,Arts and Entertainment,40.839921,-73.856846,Parkchester,10462
Nollywood African Movies,Movie Theater,40.836803,-73.852094,Parkchester,10462
BAAD! Bronx Academy of Arts and Dance,Concert Hall,40.838294,-73.844535,Westchester,10461
Side Street Catering,Arts and Entertainment,40.841716,-73.841684,Westchester,10461
Baad,Indie Theater,40.838184,-73.844619,Unionport,10461
La Santísima Botanica,Psychics and Astrologers,40.839719,-73.837455,Schuylerville,10461
Julesruby Lounge,Music Venue,40.839797,-73.842796,Unionport,10461
Club,Arts and Entertainment,40.841769,-73.841729,Westchester,10461
Glory Psychic Spiritual Advisor,Psychics and Astrologers,40.843364,-73.844806,Westchester,10461
Westchester Square Art Center,Art Gallery,40.842989,-73.846806,Westchester,10461
The Williamsbridge Tavern,Arts and Entertainment,40.846307,-73.847976,Westchester,10461
Bronx Council On The Arts,Museum,40.848363,-73.854134,Pelham Parkway,10461
Italian American Museum,Museum,40.85145,-73.849651,Pelham Parkway,10461
Mugzs Sports Bar,Arts and Entertainment,40.857207,-73.885928,Belmont,10458
"Fordham Museum of Greek, Etruscan and Roman Art",Art Museum,40.860953,-73.889351,Belmont,10458
Jack Coffey Field,Stadium,40.860903,-73.889217,Belmont,10458
Essen,Stadium,40.856624,-73.886894,Belmont,10458
Jim Houlihan Park,Stadium,40.860903,-73.889217,Belmont,10458
Collins Auditorium,Movie Theater,40.861272,-73.889538,Belmont,10458
Albert The Clown,Arts and Entertainment,40.878953,-73.917917,Marble Hill,10463
Riverdale Children's Theatre,Music Venue,40.88364,-73.914371,Marble Hill,10463
Elisa Contemporary Art,Art Gallery,40.904441,-73.902317,Fieldston,10471
Performance Court,Stadium,40.910721,-73.903998,Fildston,10471
Judaica Museum,Art Museum,40.909025,-73.908887,Fildston,10471
Psychic Readings By Lauren,Psychics and Astrologers,40.846615,-73.831796,Westchester,10461
Bronx Zoo Rama,Zoo,40.828424,-73.825106,Throgs Neck,10465
Graffiti Universe,Art Gallery,40.868998,-73.858388,Pelham Parkway,10469
NiteLine TV,Music Venue,40.87243,-73.86733,Ollinville,10467
Local Celebrity Theatre,Music Venue,40.865558,-73.840926,Baychester,10469
The Garza,Music Venue,40.832782,-73.915123,Concourse,10456
Life and Times of Alvin Baltrop,Exhibit,40.831147,-73.919787,Concourse,10456
Black Don Entertainment,Night Club,40.836093,-73.914519,Concourse,10456
Con Sazon,Arts and Entertainment,40.831426,-73.851199,Parkchester,10462
D-Lounge,Comedy Club,40.832872,-73.851645,Parkchester,10462
Status Billiards,Pool Hall,40.626053,-74.03024,Bayridge,11209
Polizzi Fine Art,Art Gallery,40.6289,-74.028612,Bayridge,11209
Psychic Readings By Vienna,Psychics and Astrologers,40.625563,-74.030438,Bayridge,11209
Miss Ruth Psychic,Psychics and Astrologers,40.623643,-74.027791,Bayridge,11209
Park Avenue Christian Church New York,Museum,40.62536,-74.035876,Bayridge,11209
Psychic Professional Patrova,Psychics and Astrologers,40.621655,-74.029541,Bayridge,11209
Brooklyn Musical Arts,Art Gallery,40.614571,-73.995068,Bensonhurst,11204
Russian Events,Ticket Seller,40.610823,-73.99823,New Utrecht,11214
Psychic Readings by Tina,Psychics and Astrologers,40.614956,-73.994778,Bensonhurst,11204
New York Highly Rated Tours,Museum,40.645074,-74.010563,Sunset Park,11220
Psety,Art Gallery,40.648221,-74.01117,Sunset Park,11220
Brouwerij Lane,Night Club,40.729742,-73.957869,Greenpoint,11222
Oak & Iron,Arts and Entertainment,40.731572,-73.958027,Greenpoint,11222
Triskelion Arts,Music Venue,40.72692,-73.956494,Greenpoint,11222
Good Room,Night Club,40.726855,-73.952868,Greenpoint,11222
Faurschou,Art Museum,40.733905,-73.955497,Greenpoint,11222
Brooklyn Bazaar,Music Venue,40.729989,-73.954691,Greenpoint,11222
Komnata Quest NYC Escape Room,Arts and Entertainment,40.728517,-73.959306,Greenpoint,11222
Kaskade,Music Venue,40.730303,-73.955053,Greenpoint,11222
Kehinde Wiley Studio,Art Gallery,40.732165,-73.953989,Greenpoint,11222
Yes Gallery,Art Gallery,40.732537,-73.954222,Greenpoint,11222
Heliopolis,Art Gallery,40.732719,-73.955451,Greenpoint,11222
Owen James Gallery,Art Gallery,40.730001,-73.958272,Greenpoint,11222
Les Nuits de Montreal,Arts and Entertainment,40.729946,-73.958313,Greenpoint,11222
Cleopatra's,Art Gallery,40.727298,-73.952448,Greenpoint,11222
Imperial Saturdays,Night Club,40.726855,-73.952868,Greenpoint,11222
Multitude,Indie Theater,40.729929,-73.958924,Greenpoint,11222
The Java Project,Art Gallery,40.731681,-73.94991,Greenpoint,11222
Yashar Gallery,Art Gallery,40.73039,-73.949773,Greenpoint,11222
Human NYC,Art Gallery,40.727037,-73.952133,Greenpoint,11222
Film Noir Cinema,Movie Theater,40.727271,-73.951443,Greenpoint,11222
SittinOnMusic Studios,Performing Arts Venue,40.729982,-73.958969,Greenpoint,11222
Irl,Music Venue,40.727261,-73.957194,Greenpoint,11222
The G-Spot,Art Gallery,40.734014,-73.953449,Greenpoint,11222
Calico Brooklyn,Art Gallery,40.728732,-73.959314,Greenpoint,11222
Arete Venue And Gallery,Performing Arts Venue,40.728787,-73.959273,Greenpoint,11222
Stuart Cinema & Cafe,Indie Movie Theater,40.729214,-73.959464,Greenpoint,11222
Greenpoint Terminal Gallery,Art Gallery,40.728732,-73.959314,Greenpoint,11222
Triple Canopy,Art Gallery,40.734554,-73.955435,Greenpoint,11222
The End,Arts and Entertainment,40.730004,-73.960149,Greenpoint,11222
Broadway Stages - Stage 8,Performing Arts Venue,40.729393,-73.948731,Greenpoint,11222
New Animal Productions,Arts and Entertainment,40.730065,-73.953865,Greenpoint,11222
Sunshine Laundromat,Arcade,40.72926,-73.953703,Greenpoint,11222
Sunshine Laundry,Arcade,40.729271,-73.953698,Greenpoint,11222
Gia Forakis & Company,Arts and Entertainment,40.731897,-73.953935,Greenpoint,11222
Tournament,Music Venue,40.732325,-73.956091,Greenpoint,11222
Superchief Gallery,Art Gallery,40.72957,-73.958255,Greenpoint,11222
Klub Europa Of Brooklyn,Night Club,40.726855,-73.952868,Greenpoint,11222
Nostudio,Art Museum,40.726833,-73.955705,Greenpoint,11222
Worldpitch,Music Venue,40.72867,-73.959617,Greenpoint,11222
Liberty Health Sciences,Museum,40.596448,-73.974198,Gravesend,11223
Gina Psychic,Psychics and Astrologers,40.596528,-73.975246,Gravesend,11223
Georgian House,Music Venue,40.576494,-73.967417,Brighton Beach,11235
Club Boardwalk Pool Hall,Pool Hall,40.577281,-73.96018,Brighton Beach,11235
Boardwalk Billiards,Amusement Park,40.577718,-73.959935,Brighton Beach,11235
Broadway Billiards,Pool Hall,40.577448,-73.959969,Brighton Beach,11235
Art & AR Ts Gallery,Art Gallery,40.576943,-73.966738,Brighton Beach,11235
Stars Studio of Performing Arts,Music Venue,40.576833,-73.96682,Brighton Beach,11235
The Studio Fine Art Gallery,Art Gallery,40.577134,-73.961654,Brighton Beach,11235
Brighton Beach New York City,Arts and Entertainment,40.575193,-73.961753,Brighton Beach,11224
Exotic paintings,Art Gallery,40.579462,-73.96714,Brighton Beach,11235
Alexander Davidov,Psychics and Astrologers,40.576645,-73.959807,Brighton Beach,11235
AAA Billiards,Pool Hall,40.577666,-73.95989,Brighton Beach,11235
Club Boardwalk Pool Hall,Movie Theater,40.577776,-73.959807,Brighton Beach,11235
Newdar,Psychics and Astrologers,40.58087,-73.966846,Brighton Beach,11235
Penthouse Lounge Bar,Comedy Club,40.584049,-73.946731,Manhattan Beach,11235
Psychic Reading Spiritual Healer,Psychics and Astrologers,40.587251,-73.941761,Manhattan Beach,11235
Sheepshead Bay,Museum,40.583355,-73.942483,Manhattan Beach,11235
Kastattoo,Art Gallery,40.588805,-73.948089,Sheepshead Bay,11235
Tech Artistic,Arts and Entertainment,40.61523,-73.958771,Manhattan Terrace,11230
Vince Giordano & the Nighthawks,Music Venue,40.617209,-73.961286,Midwood,11230
Alaiyo Bradshaw's Gallery,Art Gallery,40.636682,-73.960339,Ditmas Park West,11226
Jewish Children's Museum,Art Museum,40.668911,-73.942094,Crown Hights,11213
Brooklyn Children's Museum,History Museum,40.674572,-73.944055,Crown Heights,11213
Kingston Ave Shopping District,Arts and Entertainment,40.669009,-73.942447,Crown Heights,11213
Leviim Judaica Jewish Art Gallery,Art Gallery,40.670497,-73.941871,Crown Hights,11213
Council of American Jewish Museums,Museum,40.671997,-73.943608,Crown Heights,11213
Mikhoel's Piano Studio,Arts and Entertainment,40.66906,-73.94283,Crown Heights,11213
Muchnik Arts,Arts and Entertainment,40.666542,-73.942004,Crown Heights South,11213
Freaks Mas,Carnival,40.642026,-73.93379,East Flatbush,11203
Pantonic Steel Orchestra,Music Venue,40.638,-73.939301,,11210
Tiferes Mordechai,Music Venue,40.639404,-73.979268,Kensington,11218
BADYHouseStorytellingConcert,Concert Hall,40.643544,-73.98357,Kensington,11218
The Red Zone,Arts and Entertainment,40.65547,-73.976975,Windsor Teraace,11218
McCrackHouse,Arcade,40.656719,-73.976631,Windsor Teraace,11215
Ps 154k Museum Alliance For Science And Technology Magnet School,Museum,40.657219,-73.976084,Windsor Teraace,11218
Skuflix,Zoo,40.659682,-73.982675,Park Slope,11215
Blew Smoke,Arts and Entertainment,40.68002,-73.96402,Adelphi,11238
Art Cafe + Bar,Jazz and Blues Venue,40.680169,-73.964505,Adelphi,11238
Murmrr Theatre,Music Venue,40.673336,-73.968034,Park Slope,11238
Action Pals Studio,Performing Arts Venue,40.678472,-73.967492,Adelphi,11238
Underhill Walls,Public Art,40.674558,-73.966686,Park Slope,11238
Pequeno Puerto Rico,Arts and Entertainment,40.675501,-73.961708,Crown Heights,11238
Microsessions Nyc,Music Venue,40.678623,-73.96789,Adelphi,11238
315-329 Lincoln Place,Amusement Park,40.673409,-73.965334,Prospect Heights,11238
Complete Music Studios,Music Venue,40.678559,-73.968081,Adelphi,11238
SEEDS::Brooklyn,Music Venue,40.678939,-73.968164,Adelphi,11238
Barataria Gallery,Art Gallery,40.68111,-73.965588,Adelphi,11238
Warehouse 623,Art Gallery,40.679827,-73.969202,Adelphi,11238
A Studio Experience,Arts and Entertainment,40.676703,-73.962568,Prospect Heights,11238
Attic Theater Co.,Music Venue,40.676164,-73.967097,Prospect Heights,11238
Domestic Fair Trade Association,Carnival,40.676641,-73.967421,Prospect Heights,11238
Bass Lessons With Jake Leckie,Music Venue,40.675056,-73.966226,Prospect Heights,
Soca Flash,Arts and Entertainment,40.679649,-73.967799,Adelphi,11238
Duff's,Night Club,40.708761,-73.957888,South Side,11211
Masquerade,Night Club,40.7078,-73.955719,South Side,11211
Propstar,Theater,40.707469,-73.955788,South Side,11211
Soloway,Art Gallery,40.708433,-73.954036,South Side,11211
Brooklyn Social Scene,Performing Arts Venue,40.709089,-73.961741,South Side,11211
300 Hewes,Night Club,40.706239,-73.953384,South Side,11211
Black Diamond Gallery,Art Gallery,40.70786,-73.953272,South Side,11211
Nyosm2,Night Club,40.70685,-73.952753,South Side,11211
Ironbound Radio,Arts and Entertainment,40.71117,-73.958549,South Side,11211
Dystopia Filter,Art Gallery,40.706263,-73.952512,South Side,11211
The Annex,Public Art,40.711078,-73.959985,South Side,11211
Paint Nite,Arts and Entertainment,40.711422,-73.959213,South Side,11211
Spiritual Healing,Psychics and Astrologers,40.710538,-73.958001,South Side,11211
Sanguine Theatre Company,Arts and Entertainment,40.709618,-73.962111,South Side,11211
Bossa Nova Civic Club,Night Club,40.69791,-73.928065,Bushwick,11221
Low Brow Artique,Art Gallery,40.69965,-73.92752,Bushwick,11221
Flow Juggle,Circus,40.698596,-73.924557,Bushwick,11221
Casa Maya,Arts and Entertainment,40.697772,-73.926778,Bushwick,11221
Space 776,Art Gallery,40.697334,-73.923375,Bushwick,11221
Fisher Parrish Gallery,Art Gallery,40.697825,-73.921125,Bushwick,11237
The Parlour Bushwick,Art Gallery,40.695473,-73.928452,Bushwick,11221
Castlebraid Rooftop,Music Venue,40.699764,-73.929313,Bushwick,11206
Peephole Cinema,Public Art,40.701761,-73.927207,Bushwick,11237
The Jeffersonian,Art Gallery,40.700231,-73.929985,Bushwick,11206
Otion Front,Art Gallery,40.697348,-73.930966,Bushwick,11206
Jah Rock'n Productions,Music Venue,40.701756,-73.927382,Bushwick,11237
National Brighton Beach,Arts and Entertainment,40.694043,-73.927482,Bushwick,11221
Wet Cash NYC,Comedy Club,40.698637,-73.925038,Bushwick,11221
Central Arts and Recording,Arts and Entertainment,40.696368,-73.927265,Bushwick,11221
Alice Sparkly Kat Astrology,Psychics and Astrologers,40.696917,-73.9289,Bushwick,11221
Little Hippie,Arts and Entertainment,40.697889,-73.9309,Bushwick,11221
Bomba Party,Arts and Entertainment,40.6964,-73.9198,Bushwick,11221
Euridice Gallery,Art Gallery,40.688138,-73.938686,Bedford,11221
Famous Faces Mural,Public Art,40.689828,-73.942022,Bedford,11206
Welancora Gallery,Art Gallery,40.684131,-73.941368,Bedford,11221
Fou Gallery,Art Gallery,40.684124,-73.941629,Bedford,11221
Three's Company,Public Art,40.685645,-73.937151,Bedford,11221
The Luminal Theater,Indie Movie Theater,40.683635,-73.943791,Bedford,11216
Brooklyn Stuy Dome,Stadium,40.69155,-73.942175,Bedford,11221
Vidas Brooklyn,Music Venue,40.691345,-73.943781,Bedford,11221
Brooklyn Historical Society,History Museum,40.694833,-73.99247,Brooklyn Heights,11201
Jubilee Gallery,Art Gallery,40.697083,-73.992995,Brooklyn Heights,11201
Studio 24,Art Gallery,40.69619,-73.992131,Brooklyn Heights,11201
Brooklyn Symphony Orchestra,Performing Arts Venue,40.694661,-73.992856,Brooklyn Heights,11201
Area Kids,Amusement Park,40.694381,-73.993238,Brooklyn Heights,11201
Asia Art Archive In Amer,Art Gallery,40.694875,-73.996878,Brooklyn Heights,11201
VGA Headquarters,Gaming Cafe,40.695976,-73.988109,Brooklyn Heights,11201
Willoughby Windows,Art Gallery,40.695557,-73.989619,Brooklyn Heights,11201
Mansion House,Museum,40.697089,-73.994784,Brooklyn Heights,11201
Rotunda Gallery,Art Gallery,40.695338,-73.991749,Brooklyn Heights,11201
Daphne Art Gallery,Art Gallery,40.694333,-73.993018,Brooklyn Heights,11201
Heights Casino,Casino,40.69738,-73.992003,Brooklyn Heights,11201
Theater 2020,Movie Theater,40.695691,-73.996605,Brooklyn Heights,11201
Snippo Entertainment,Arts and Entertainment,40.694215,-73.991399,Brooklyn Heights,11201
Impress Art Inc.,Art Gallery,40.698022,-73.992203,Brooklyn Heights,11201
National Theatre Conference,Music Venue,40.695785,-73.997132,Brooklyn Heights,11201
The Brooklyn Psychic,Psychics and Astrologers,40.693552,-73.991984,Boerum Hill,11201
The Brooklyn Psychic & Astrology Readings,Psychics and Astrologers,40.693559,-73.991722,Boerum Hill,11201
Personal Space Theatrics,Music Venue,40.695981,-73.989898,Brooklyn Heights,11201
Generoso Pope Athletic Complex,Stadium,40.693135,-73.991444,Boerum Hill,11201
Cobble Hill Cinemas,Indie Movie Theater,40.684914,-73.994392,Boerum Hill,11231
Picture Room,Art Gallery,40.691004,-73.996464,Brooklyn Heights,11201
Jungle Room East,Night Club,40.684702,-73.996259,Cobble Hill,11231
Treasure Trunk Theatre,Arts and Entertainment,40.690659,-73.995273,Brooklyn Heights,11201
Vertical Player Repertory,Music Venue,40.686496,-73.993713,Boerum Hill,11201
The Toy Museum Of NY,Museum,40.685132,-74.002252,Carroll Gardens,11231
Broken Box Mime Theater,Arts and Entertainment,40.690333,-73.9962,Brooklyn Heights,11201
Michael Hafftka,Art Gallery,40.690029,-73.994637,Brooklyn Heights,11201
Colpo's Corner Deli & Beer Grocer Too,Music Venue,40.691214,-73.994684,Brooklyn Heights,11201
The Brooklyn Strategist,Gaming Cafe,40.682835,-73.995532,BoCoCa,11231
Bar Bête,Music Venue,40.68291,-73.992743,BoCoCa,11231
Cobble Hill Cinemas,Indie Movie Theater,40.684914,-73.994392,Boerum Hill,11231
Court Street Gallery,Art Gallery,40.680597,-73.996534,BoCoCa,11201
The Coal Shop Gallery,Art Gallery,40.679636,-73.992222,Carroll Gardens,11231
Brooklyn Workshop Gallery,Art Gallery,40.677987,-73.993378,Carroll Gardens,11231
Pixelsguy's Checkpoint,Arcade,40.677381,-73.997846,Gowanus,11231
Company XIV,Indie Theater,40.680042,-73.989185,Gowanus,11231
Bond Street Gallery,Arts and Entertainment,40.680042,-73.989185,Gowanus,11231
Jungle Room East,Night Club,40.684702,-73.996259,Cobble Hill,11231
The Green Union,Arts and Entertainment,40.679664,-73.989214,Gowanus,11231
Show Room Gowanus,Art Gallery,40.679664,-73.989214,Gowanus,11231
The Sabian Assembly,Psychics and Astrologers,40.680888,-73.993754,BoCoCa,11231
Steven S Powers,Arts and Entertainment,40.681952,-73.996282,BoCoCa,11231
"Handmade, The Handmade Project",Art Gallery,40.677987,-73.993378,Carroll Gardens,11231
Clayhouse Brooklyn,Art Gallery,40.683901,-73.991997,BoCoCa,11231
104 South 4th,Night Club,40.676657,-73.992759,Gowanus,11249
Issue Project Room,Arts and Entertainment,40.678139,-73.989765,Carroll Gardens,11231
Pioneer Works,Music Venue,40.67926,-74.011964,Red Hook,11231
Red Hook Labs,Art Gallery,40.680105,-74.010646,Red Hook,11231
Hot Wood Arts,Art Gallery,40.674075,-74.016293,Red Hook,11231
Kentler International Drawing Space,Art Gallery,40.677075,-74.013011,Red Hook,11231
Waterfront Museum,History Museum,40.675176,-74.017427,Red Hook,11231
Brooklyn Waterfront Artists Coalition,Art Gallery,40.673572,-74.016928,Red Hook,11231
Golden Anvil Sculptures,Art Gallery,40.676745,-74.01326,Red Hook,11231
Gallery Brooklyn,Art Gallery,40.676973,-74.012833,Red Hook,11231
Kustera Projects Red Hook,Art Gallery,40.676355,-74.011761,Red Hook,11231
MVS Studio,Arts and Entertainment,40.677061,-74.013534,Red Hook,11231
Manos de Mexicanos,Art Gallery,40.677557,-74.017086,Red Hook,11231
Peninsula Art Space,Art Gallery,40.678038,-74.012353,Red Hook,11231
Robotic Church,Arts and Entertainment,40.67854,-74.010714,Red Hook,11231
Dustin Yellin,Art Gallery,40.679143,-74.012308,Red Hook,11231
Miniature Golf at Reed Park,Mini Golf Course,40.675415,-74.016565,Red Hook,11231
Clocktower Gallery & Radio,Art Gallery,40.679263,-74.011877,Red Hook,11231
Frank Perry Productions Music Publishing,Arts and Entertainment,40.6759,-74.008691,Red Hook,11231
Brooklyn Historic Railway Association,Museum,40.673417,-74.016703,Red Hook,11231
Studio Bosco Sodi,Arts and Entertainment,40.67352,-74.016882,Red Hook,11231
Art & Anvil,Art Gallery,40.673467,-74.016836,Red Hook,11231
PortSide NewYork,Arts and Entertainment,40.680589,-74.012704,Red Hook,11231
The Bell House,Rock Club,40.673667,-73.991682,Gowanus,11215
Brooklyn Art Space,Art Gallery,40.673037,-73.991047,Gowanus,11215
Gowanus Ballroom,Arts and Entertainment,40.673936,-73.995661,Gowanus,11215
Gowanus Loft,Art Gallery,40.673733,-73.995217,Gowanus,11215
3rd Floor Studios,Art Gallery,40.672675,-73.994478,Gowanus,11215
Art Studio 75 10th St,Art Gallery,40.67251,-73.994602,Gowanus,11215
Secret Science Club,Arts and Entertainment,40.67377,-73.991861,Gowanus,11215
Site:Brooklyn,Arts and Entertainment,40.673408,-73.99128,Gowanus,11215
Onsite,Art Gallery,40.673566,-73.991417,Gowanus,11215
Gowanus Studio Space,Art Gallery,40.673083,-73.991354,Gowanus,11215
Trestle Gallery,Art Gallery,40.672875,-73.991084,Gowanus,11215
IBeam Brooklyn,Concert Hall,40.672982,-73.991088,Gowanus,11215
Refuge Recording,Music Venue,40.674078,-73.99837,Gowanus,11231
Super Secret Arts,Music Venue,40.67358,-73.98958,Gowanus,11215
On The Line - Digital Plus Studio,Art Gallery,40.672759,-73.989379,Gowanus,11215
Brooklyn Workshop Gallery,Art Gallery,40.677987,-73.993378,Carroll Gardens,11231
Pixelsguy's Checkpoint,Arcade,40.677381,-73.997846,Gowanus,11231
One77,Movie Theater,40.669576,-73.995446,Gowanus,11215
Drew Conrad Art Studio,Art Gallery,40.672469,-73.994121,Gowanus,11215
The Rub,Night Club,40.673717,-73.991815,Gowanus,11215
I-Beam Music Studio,Concert Hall,40.672662,-73.990989,Gowanus,11215
104 South 4th,Night Club,40.676657,-73.992759,Gowanus,11249
Ultraviolet,Night Club,40.672862,-73.990068,Gowanus,11215
Artwork By Allyn,Art Gallery,40.675464,-73.998948,Gowanus,11231
"Handmade, The Handmade Project",Art Gallery,40.677987,-73.993378,Carroll Gardens,11231
Quantum Brooklyn,Arts and Entertainment,40.669601,-73.995499,Gowanus,11215
The Vangeline Theater,Movie Theater,40.677089,-73.998664,Gowanus,11231
BAM Rose Cinemas,Indie Movie Theater,40.686607,-73.977665,Fort Greene,11217
Brooklyn Academy of Music,Music Venue,40.686607,-73.977665,Fort Greene,11217
BAM Harvey Theater,Music Venue,40.688302,-73.978778,Down Town,11217
Bam Howard Gilman Opera House,Music Venue,40.686605,-73.977753,Fort Greene,11217
South Oxford Space,Performing Arts Venue,40.685212,-73.973424,Fort Greene,11217
BAM DanceAfrica Bazaar,Arts and Entertainment,40.687033,-73.977857,Fort Greene,11217
Mocada,Art Museum,40.685294,-73.974387,Fort Greene,11217
Tacombi Fort Greene,Music Venue,40.687084,-73.977989,Downtown Brooklyn,11217
Irondale Center,Concert Hall,40.68683,-73.973399,Clinton Hill,11217
Biggie Smalls Mural,Public Art,40.686053,-73.974242,Fort Greene,11217
Paul Robeson Theatre,Concert Hall,40.685989,-73.970619,Adelphi,11238
Sonya,Art Gallery,40.688898,-73.968682,Clinton Hill,11205
Urban Bush Woman,Performing Arts Venue,40.685104,-73.97342,Fort Greene,11217
Museum of Contemporary African Diasporan Arts,Art Museum,40.685292,-73.974474,Fort Greene,11217
Civilians,Music Venue,40.685212,-73.973424,Fort Greene,11217
