Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Joseph M Tauman,Spiritual Center,40.892469,-73.91155,Riverdale,10471
Glenwood Luxury Rentals,Real Estate Service,40.89206,-73.910658,Kingsbridge,10471
New York City Board of Education,Elementary School,40.891502,-73.909279,Kingsbridge,10471
Briar Hill Apts,Real Estate Agency,40.892515,-73.909799,Kingsbridge,10471
Gan Miriam,Church,40.888113,-73.912788,Kingsbridge,10463
Children Services Jewish Board Of Family Bronx,Community and Government,40.889609,-73.90934,Kingsbridge,10463
Jewish Board of Family & Children,Spiritual Center,40.889664,-73.909298,Kingsbridge,10463
Riverdale Jewish Center,Synagogue,40.888,-73.9128,Kingsbridge,10463
Morah Jordana’s Schoolhouse,Child Care Service,40.889436,-73.915904,Riverdale,10463
Solaria Riverdale,Real Estate Service,40.887966,-73.912213,Kingsbridge,10463
Riverdale Community Center,Public and Social Service,40.888021,-73.91423,,10463
Middle School High School 141,High School,40.887968,-73.914184,,10463
Riverdale Mikveh,Synagogue,40.888089,-73.910387,Kingsbridge,10463
Hebrew Institute of Riverdale - The Bayit,Spiritual Center,40.887952,-73.910679,Kingsbridge,10463
Coalition For Jewish Concerns,Non-Profit Organization,40.887902,-73.910546,Kingsbridge,10463
Chabad Of Kingsbridge,Synagogue,40.887619,-73.911017,Kingsbridge,10463
Abmac Foundation,Government Department / Agency,40.888209,-73.909112,Kingsbridge,10463
Hayden Garage,Residential Building,40.889399,-73.917304,Riverdale,10471
Manor Towers Owners Corporation,Real Estate Service,40.888078,-73.916159,Riverdale,10463
Hayden On The Hudson,Real Estate Service,40.889452,-73.91735,Riverdale,10471
New York City Geographic Dist,Community and Government,40.886989,-73.91441,Spuyten Duyvil,10463
Devol,Public and Social Service,40.887612,-73.909221,Kingsbridge,10463
Judaica Kingdom,Synagogue,40.886948,-73.909809,Kingsbridge,10463
New York Public Library,Library,40.880456,-73.908032,Kings Bridge,10463
Greek Orthodox Church of Kingbridge & Riverdale,Church,40.882163,-73.90464,Kings Bridge,10463
NYPD - 50th Precinct,Police Station,40.88352,-73.902453,Kings Bridge,10463
P S 7X,Elementary School,40.881274,-73.905698,Kings Bridge,10463
NYCHA - Fort Independence Street-Heath Avenue,Housing Development,40.879943,-73.900786,Kings Bridge,10463
Public School 7,Elementary School,40.881598,-73.90571,Kings Bridge,10463
St John's School,Elementary School,40.88078,-73.905986,Kings Bridge,10463
Iglesia Adventista Bailey,Church,40.878515,-73.901696,Kings Bridge,10463
Tech International Charter,Middle School,40.880642,-73.907119,Kings Bridge,10463
Amber Charter School Kingsbridge,Education,40.880589,-73.907073,Kings Bridge,10463
Temple Of Enlightenment,Church,40.878195,-73.903568,Kings Bridge,10463
Church of the Mediator,Church,40.879934,-73.907312,Kings Bridge,10463
3210 Riverdale,Residential Building,40.88262,-73.907938,Kings Bridge,10463
Spuyten Duyvil Preschool,Preschool,40.879227,-73.907504,Kings Bridge,10463
Ps 207,Elementary School,40.878285,-73.90633,Kings Bridge,10463
"Kingsbridge Branch Library, NYPL",Library,40.880734,-73.907736,Kings Bridge,10463
Congregation Tehillah,Synagogue,40.882634,-73.903296,Kings Bridge,10463
All Medical Care Management,Rehabilitation Center,40.882686,-73.903342,Kings Bridge,10463
Davita Kidney Care,Organization,40.880159,-73.902853,Kings Bridge,10463
N Y City Police Department,Police Station,40.88352,-73.902453,Kings Bridge,10463
Bronx 50th Precinct Police,Police Station,40.883628,-73.902457,Kings Bridge,10463
City of New York,Community and Government,40.881221,-73.905652,Kings Bridge,10463
Riverdale Community Church,Church,40.879482,-73.901908,Kings Bridge,10463
Bethel United Methodist Church of Ny,Church,40.880389,-73.900278,Kings Bridge,10463
Fort Independence Cmnty Center,Community and Government,40.879917,-73.90079,Kings Bridge,10463
Alcance Nueva Vida Internacional,Church,40.879371,-73.901991,Kings Bridge,10463
Kingsbridge-Riverdale-Van Cortlandt Development Corporation,Public and Social Service,40.883718,-73.901103,Kings Bridge,10463
Community Preservation,Charity,40.879312,-73.902208,Kings Bridge,10463
Archdiocese of New York,Spiritual Center,40.880945,-73.90586,Kings Bridge,10463
City of New York,Government Department / Agency,40.880063,-73.900353,Kings Bridge,10463
Apartment Rental Masters,Property Management Office,40.879422,-73.904183,Kings Bridge,10463
Harlington Realty,Residential Building,40.880198,-73.905482,Kings Bridge,10463
Bethel Korean,Church,40.880288,-73.900011,Kings Bridge,10463
Grace Tabernacle,Church,40.880288,-73.900011,Kings Bridge,10463
Koulis Tender Touch Occupational Therapy Services,Organization,40.88423,-73.904232,Kingsbridge,10463
Riverdale Parc - Apartments,Residential Building,40.880678,-73.90654,Kings Bridge,10463
Doxa Sports Club,Organization,40.878829,-73.904117,Kings Bridge,10463
Bailey Spanish Seventh-Day Adventist Church,Church,40.878735,-73.901529,Kings Bridge,10463
Columbia University,College and University,40.881023,-73.898768,Kings Bridge,10463
State Assembly Jeff Dinowitz,Government Department / Agency,40.880224,-73.906578,Kings Bridge,10463
Corlear Gardens,Property Management Office,40.881508,-73.907064,Kings Bridge,10463
Greek Orthodox Church of St Nektarios,Church,40.878421,-73.902477,Kings Bridge,10463
Kingsbridge Evangelical Lutheran Church,Church,40.878459,-73.901738,Kings Bridge,10463
General Conference Of Seventh-Day Adventists,Spiritual Center,40.878462,-73.901651,Kings Bridge,10463
Koppel Oliver Councilmember,Community and Government,40.880456,-73.907318,Kings Bridge,10463
Catholic Guardian Service,Church,40.879282,-73.899229,,10463
Kingsbridge Center Of Israel,Synagogue,40.880828,-73.907478,Kings Bridge,10463
Buddhist Assn of the US,Buddhist Temple,40.877979,-73.903559,Kings Bridge,10463
Kingsbridge Heights Rehabilitation & Care Center,Rehabilitation Center,40.880178,-73.898036,Kings Bridge,10463
Iglesia De Dios,Church,40.878517,-73.899551,Kingsbridge,10463
New York Public Library,Library,40.880456,-73.908032,Kings Bridge,10463
St John's R C Church,Church,40.87911,-73.90785,Kings Bridge,10463
108 Marblehill,Housing Development,40.876532,-73.909286,Marble Hill,10463
St Stephen's United Methodist Church,Church,40.876918,-73.908994,Marble Hill,10463
Atmosphere Academy,Middle School,40.875046,-73.910325,Marble Hill,10463
Hispanoamericana,Adult Education,40.875179,-73.909366,Kings Bridge,10463
Bronx Theatre High School,High School,40.877249,-73.91286,Marble Hill,10463
Bronx Engineering and Technology Academy,High School,40.877251,-73.912772,Marble Hill,10463
Marble Hill High School of International Studies,High School,40.87719,-73.912579,Marble Hill,10463
Ellis Prepatory Academy,College and University,40.877203,-73.912565,Marble Hill,10463
John F Kennedy High School,High School,40.877145,-73.912681,Marble Hill,10463
The New Visions Charter High School For The Humani,High School,40.877203,-73.912552,Marble Hill,10463
Carolina Baptist Church,Church,40.875512,-73.909028,Kings Bridge,10463
NYCHA - Marble Hill Community Center,Housing Development,40.877267,-73.908043,Kings Bridge,10463
Marble Hill Community Center,Non-Profit Organization,40.876295,-73.908007,Kings Bridge,10463
Promenade Apartments,Property Management Office,40.875553,-73.913628,Marble Hill,10463
In-Tech Academy,Primary and Secondary School,40.879897,-73.91077,Marble Hill,10463
Korean School of New York,Language School,40.8793,-73.910879,Marble Hill,10463
NYCHA - Marble Hill Houses,Housing Development,40.875521,-73.90662,Kings Bridge,10463
The Century Building,Residential Building,40.874809,-73.906988,Marble Hill,10463
Marble Hill Houses Community Gardens,Organization,40.873815,-73.907826,Spuyten Duyvil,10463
The Raymont,Residential Building,40.880088,-73.911741,Marble Hill,10463
Spuyten Duyvil Preschool,Preschool,40.879227,-73.907504,Kings Bridge,10463
American Legion,Organization,40.879852,-73.908403,Kings Bridge,10463
RSS - Riverdale Senior Services,Community and Government,40.878652,-73.914971,Marble Hill,10463
Columbia University Softball Field,College Baseball Diamond,40.873658,-73.913776,Marble Hill,10034
Ps 207,Elementary School,40.878285,-73.90633,Kings Bridge,10463
Church of the Mediator,Church,40.879934,-73.907312,Kings Bridge,10463
Benjamin Franklin Reform Democratic Club,Organization,40.880761,-73.908744,Kings Bridge,10463
International Leadership,Primary and Secondary School,40.880734,-73.909794,Marble Hill,10463
United States Postal Service,Post Office,40.877256,-73.906423,Kings Bridge,10463
Eugene Lang Clg The New Sch,High School,40.876334,-73.910636,Marble Hill,10463
Little Day Dreamers Learning,Tutoring Service,40.876249,-73.911599,Marble Hill,10463
Piano Lessons NYC with Emily Cohn | Emco,Music School,40.875841,-73.909304,Marble Hill,10463
Atmosphere Academy Public Charter,Education,40.875158,-73.910154,Marble Hill,10463
Bronx School of Law & Finance,High School,40.877203,-73.912552,Marble Hill,10463
English Language Learners And International Suppor,High School,40.877203,-73.912552,Marble Hill,10463
New Visions Charter High School For Advanced Math & Science,High School,40.877145,-73.912681,Marble Hill,10463
School Partners,Primary and Secondary School,40.877198,-73.912727,Marble Hill,10463
Apartments & Apartment Houses,Real Estate Service,40.875011,-73.911637,Marble Hill,10463
Marble Hill Senior Citizens Center,Senior Citizen Service,40.87667,-73.908152,Kings Bridge,10463
N Y City,Government Department / Agency,40.874763,-73.908738,Kings Bridge,10463
United Cerebral Palsey,Charity,40.875399,-73.913316,Marble Hill,10463
Saint Joseph Cursillocenter,Church,40.878983,-73.908546,Kings Bridge,10463
Association For Psychoanalytic Medicine,Organization,40.878673,-73.908009,Kings Bridge,10463
Ps 37 Multiple Intelligence School,Elementary School,40.879849,-73.910549,Marble Hill,10463
Ps 37x,Elementary School,40.879851,-73.910462,Marble Hill,10463
Insidedigs,Residential Building,40.878503,-73.914484,Marble Hill,10463
Edgehill Montessori Daycare,Preschool,40.879562,-73.913254,Marble Hill,10463
Eisland Strategies,Community and Government,40.878498,-73.914659,Marble Hill,10463
New York Public Library,Library,40.900418,-73.867948,Lincoln,10470
United States Postal Service,Post Office,40.900751,-73.86761,Lincoln,10470
Ps 19 Judith K Weiss,Elementary School,40.899329,-73.867317,Lincoln,10470
East 237th Street,Residential Building,40.899051,-73.868555,Lincoln,10470
Local 147 Tunnel Workers,Organization,40.899783,-73.867399,Lincoln,10470
FDNY EMS Station 27,Fire Station,40.896611,-73.86886,Lincoln,10470
Christ Alive Christian Center,Church,40.896281,-73.864905,Lincoln,10470
Emmanuel Presbyterian Church,Church,40.901502,-73.865753,Lincoln,10470
St Stephens Episcopal Church,Church,40.900258,-73.863692,Lincoln,10470
Webster Park,Residential Building,40.896434,-73.863158,Lincoln,10470
Saint Barnabas CCD Bronx,Church,40.902108,-73.865294,Lincoln,10470
Saint Barnabus,Church,40.90211,-73.865206,Lincoln,10470
St Barnabas Parish Center,Church,40.90211,-73.865206,Lincoln,10470
St Barnabas Elementary School,Elementary School,40.902108,-73.865294,Lincoln,10470
Saint Barnabas High School,High School,40.901646,-73.864357,Lincoln,10470
American Outlaws Bronx Chapter,Organization,40.898361,-73.867161,Lincoln,10470
Woodlawn Heights Library,Library,40.898099,-73.867731,Lincoln,10470
St Patricks Day Parade,Charity,40.899441,-73.868087,Lincoln,10470
Laborers' Union Local 147,Organization,40.899786,-73.867311,Lincoln,10470
Compressed Air Workers Union,Organization,40.899817,-73.867391,Lincoln,10470
Cement & Concrete Workers Union Local 18A,Organization,40.896651,-73.867284,Lincoln,10470
Woodlawn Station Bronx Post Office,Post Office,40.900698,-73.867564,Lincoln,10470
Unique People Services,Public and Social Service,40.896676,-73.864262,Lincoln,10470
Woodlawn Cemetery,Cemetery,40.895807,-73.864405,Woodlawn,10470
American Legion,Organization,40.895807,-73.864405,Woodlawn,10470
Trinity Community Full Gospel,Church,40.901831,-73.867649,Lincoln,10470
4201 Webster,Utility Company,40.89577,-73.863747,Woodlawn,10470
St Barnabas Rectory,Church,40.902051,-73.865423,Lincoln,10470
St Barnabas Parents Associates,Organization,40.902053,-73.865335,Lincoln,10470
Church St,Church,40.90211,-73.865206,Lincoln,10470
New York Public Library - Mosholu Library,Library,40.874372,-73.878245,Norwood,10467
Bronx County Archives,Library,40.87828,-73.87966,Norwood,10467
Ps 94 Kings College School,Elementary School,40.880445,-73.87536,Norwood,10467
Ps 80,High School,40.876883,-73.881404,Norwood,10467
The Mosholu Parkway JHS,Middle School,40.876883,-73.881404,Norwood,10467
Public School 280,Elementary School,40.877095,-73.881587,Norwood,10467
Isabel Rooney Middle School,Middle School,40.876881,-73.881491,Norwood,10467
Young Israel of Mosholu Parkway,Synagogue,40.878172,-73.881714,Norwood,10467
Psms280 Rocks,Community and Government,40.87726,-73.881461,Norwood,10467
St Brendan School,Elementary School,40.875467,-73.87746,Norwood,10467
St Brendan's Church,Church,40.874985,-73.877524,Norwood,10467
KinGs CoLLege PL & Gun HiLL Rd,Sorority House,40.880018,-73.877228,Norwood,10467
Holy Nativity Episcopal Church,Church,40.873578,-73.879705,Norwood,10467
Parklane Court,Residential Building,40.879383,-73.882941,Norwood,10467
Montefiore Health Sciences Library Henry & Lucy Moses Division,Community and Government,40.880692,-73.878347,Norwood,10467
Vaswani Driving Academy,Driving School,40.873424,-73.879393,Norwood,10467
Ps 56 Norwood Heights,Education,40.87543,-73.874956,Norwood,10467
Adolescent Aids Program,Non-Profit Organization,40.879897,-73.879807,Norwood,10467
Public School 94,Elementary School,40.880498,-73.875406,Norwood,10467
St Ann School,Elementary School,40.881606,-73.878513,Norwood,10467
Brainpower Research and Development Services,Art School,40.876918,-73.880091,Norwood,10467
Bronx Play Center,Government Department / Agency,40.87791,-73.87934,Norwood,10467
Parks & Recreation,Community and Government,40.87791,-73.87934,Norwood,10467
Center For Continuing Medical Education,College and University,40.878009,-73.879694,Norwood,10467
Sholem Aleichem Folk School,Education,40.878009,-73.879694,Norwood,10467
Bronx Historical Society,Organization,40.87828,-73.87966,Norwood,10467
Institute Of Applied Human Dynamics,Public and Social Service,40.876422,-73.880467,Norwood,10467
Junior High School 080,Middle School,40.876994,-73.88132,Norwood,10467
Young Adult Institute,Public and Social Service,40.875723,-73.88031,Norwood,10467
North Bronx Mennonite Church,Spiritual Center,40.878294,-73.881193,Norwood,10467
Faith In Action Deliverance,Church,40.878117,-73.881756,Norwood,10467
Mind-Builders Creative Art Center,Non-Profit Organization,40.875408,-73.87789,Norwood,10467
"Cancel, David Dr - Montefiore Physical Medicine & Rehabilitation",Rehabilitation Center,40.87947,-73.879616,Norwood,10467
Norwood News,Public and Social Service,40.879144,-73.88175,Norwood,10467
St Brudans Church,Church,40.874987,-73.877436,Norwood,10467
Foundation of Ghanaian Employees At Montefiore,Organization,40.880026,-73.879024,Norwood,10467
Yeshiva University,College and University,40.88004,-73.880557,Norwood,10467
Tishman Learning Center Health Libr,Library,40.88004,-73.880557,Norwood,10467
Mosholu Branch Library,Library,40.874372,-73.878245,Norwood,10467
Days Spring Glory Ministries,Church,40.879342,-73.882458,Norwood,10467
Luz En Medio,Church,40.87946,-73.87585,Norwood,10467
Geel Community Services,Non-Profit Organization,40.876546,-73.883975,Norwood,10458
Bronx Human Resources Admin,Government Department / Agency,40.880451,-73.88136,Norwood,10467
North Bronx Islamic Center,Mosque,40.873847,-73.877618,Norwood,10467
Iglesia Pentescostal,Church,40.8736,-73.87883,Norwood,10467
The Sanctuary Christian Church,Spiritual Center,40.8736,-73.87883,Norwood,10467
N Y City,Education,40.875042,-73.875336,Norwood,10467
Public School 56 Norwood Hts,Elementary School,40.87543,-73.874956,Norwood,10467
KinderCare Learning Center,Preschool,40.880615,-73.877118,Norwood,10467
Norwood Heights Public School,Primary and Secondary School,40.875267,-73.874994,Norwood,10467
North Bronx Seventh-day Adventist Church,Church,40.880952,-73.857905,,10469
Leaders of Tomorrow,Education,40.880785,-73.860176,,10467
School of Diplomacy,Middle School,40.880725,-73.860393,,10467
North Bronx School of Empowerment,Education,40.880734,-73.860043,,10467
The Globe School for Environmental Research,College Classroom,40.880693,-73.860436,,10467
Richard R Green Middle School,Middle School,40.883222,-73.859959,,10467
St Thomas Syro Malabar Catholic Church Bronx,Church,40.883844,-73.858887,,10467
Lavelle School For The Blind,Private School,40.881818,-73.853645,,10469
St Peter's Lutheran Church,Church,40.883294,-73.861363,,10467
Tilden Towers II,Housing Development,40.878591,-73.86141,,10467
St Lukes Episcopal Church,Church,40.88508,-73.859151,,10467
Butler Memorial Methodist Church,Church,40.883467,-73.852566,,10466
Regent School,Elementary School,40.881303,-73.863129,,10467
First United Church of Jesus Christ Apostolic,Church,40.885026,-73.854988,Williamsbridge,10466
General Conference Of Seventh-Day Adventists,Spiritual Center,40.880899,-73.857859,,10469
Primera Iglesia Pentecostal Unida,Church,40.880884,-73.856326,,10469
Friends of Andy King,Community and Government,40.880409,-73.855915,,10469
Gospel Assembly Church of Jesus Christ Apostolic,Church,40.882325,-73.857036,,10469
Mocho Village,Organization,40.879459,-73.857105,,10469
The Threshing Floor Christian Church,Church,40.881653,-73.860033,,10467
Bronx-The Believers Church Of God,Church,40.881651,-73.86012,,10467
Jhs 113 Junior High School,Education,40.88073,-73.860218,,10467
The Forward School,Middle School,40.880778,-73.860439,,10467
Intermediate School 113,Middle School,40.880881,-73.860618,,10467
Nyc Board Of Education,Elementary School,40.880881,-73.860618,,10467
Richard R Green Middle School,Middle School,40.880826,-73.86066,,10467
Nest Music Conservatory,Music School,40.878578,-73.857731,,10469
United Youth Marine Cadets,Youth Organization,40.880771,-73.860701,,10467
Charity Cathedral International,Spiritual Center,40.883517,-73.856904,Williamsbridge,10467
Bronx Triumphant Church of God,Church,40.879241,-73.855084,Olinville,10469
Jewish Board of Family & Children SV,Community and Government,40.880284,-73.860727,,10467
Charity Ministries,Church,40.883667,-73.857391,,10467
Tabernacle Church Of God Pillar And Ground Of The Truth,Church,40.883671,-73.857216,,10467
Mighty God Temple,Spiritual Center,40.878314,-73.857502,,10469
Christ Delight Ministry,Church,40.880134,-73.853978,,10469
The Church of Jesus Christ,Church,40.881769,-73.861833,,10467
North Bronx Ghana Sda Church,Church,40.884395,-73.858469,,10467
Full Truth Church,Church,40.877718,-73.85967,,10467
St Peters Pre-School,Preschool,40.883294,-73.861363,,10467
Blake Larkland,Residential Building,40.877364,-73.858738,,10469
Hope International Worship Center,Church,40.879913,-73.862553,,10467
The Haitian Congregation of the Good Samaritan Episcopal Church,Church,40.885078,-73.859238,,10467
St Luke's Housing For the Elderly,Real Estate Agency,40.885308,-73.858721,,10466
Grace Alone Fellowship Assembly,Church,40.877373,-73.854184,,10469
Grace Family International Church,Spiritual Center,40.882658,-73.86296,,10467
Tilden Towers II Senior Citizen Center,Senior Citizen Service,40.877466,-73.861062,,10467
Community Protestant Church,Church,40.86624,-73.837492,,10469
