Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Halbertstadt Geoffrey S,Dentist,40.883042,-73.862755,Williamsbridge,10467
Jarme Home And Health Care,Healthcare Clinic,40.86696,-73.838919,Baychester,10469
Pelham Dental Group,Dentist,40.856858,-73.855669,Pelham Parkway,10461
Pelham Parkway Dental,Dentist,40.856801,-73.855798,Pelham Parkway,10469
New York Eye Surgery Center,Optometrist,40.858544,-73.855249,Pelham Parkway,10469
Pelham Physical Medicine,Physical Therapy Clinic,40.855894,-73.855371,Pelham Parkway,10461
Tuluca Medical Pc,Neurologist,40.855951,-73.855242,Pelham Parkway,10461
Cuomo Family Chiropractic Center,Chiropractor,40.856519,-73.856269,Allerton,10461
Howard Hochster Ppc,Doctor's Office,40.859072,-73.855706,Pelham Parkway,10469
"P.A. Terraciano, MD",Ophthalmologist,40.859182,-73.855622,Pelham Parkway,10469
David Joseph Stevens,Dentist,40.857185,-73.851391,Pelham Parkway,10461
Westchester Bronx OB-Gyn Group PC,Physician,40.856747,-73.857897,Pelham Parkway,10461
Quest Diagnostics,Health and Medicine,40.854444,-73.855012,Pelham Parkway,10461
Morris Park Nursing Home,Assisted Living Service,40.858747,-73.851579,Pelham Parkway,10469
Ralph Paternoster,Optometrist,40.857212,-73.850342,Pelham Parkway,10461
Morningside House Nursing Home,Nursing Home,40.856644,-73.859776,Pelham Parkway,10461
Dr Slamowits - Opthamology,Ophthalmologist,40.857212,-73.850342,Pelham Parkway,10461
Park Professional Eyecare,Ophthalmologist,40.857212,-73.850342,Pelham Parkway,10461
Dr Driggs office,Doctor's Office,40.853707,-73.854285,Pelham Parkway,10461
New York Eye Surgery Associates,Ophthalmologist,40.858383,-73.855199,Pelham Parkway,10469
Ambulatory Surgery Center,Physician,40.858383,-73.855199,Pelham Parkway,10469
Companion Angels Home Care Solutions,Home Health Care Service,40.85588,-73.855896,Allerton,10461
Shiel Medical Laboratory,Medical Lab,40.856487,-73.857494,Pelham Parkway,10461
Ww,Nutritionist,40.859098,-73.856801,Allerton,10469
A Prime Medical Supplies,Healthcare Clinic,40.855136,-73.855431,Pelham Parkway,10461
MD Cosmetic and Laser Center,Physician,40.856747,-73.857897,Pelham Parkway,10461
Personalized Home Care,Nurse,40.854394,-73.854879,Pelham Parkway,10461
Ralph Paternoster - Park Professional Eyecare,Optometrist,40.857212,-73.850342,Pelham Parkway,10461
Tender Care Homecare,Home Health Care Service,40.854082,-73.855688,Pelham Parkway,10461
Acute Chronic Chiropractic PC,Acupuncture Clinic,40.85372,-73.85376,Pelham Parkway,10461
Morningside Nursing and Rehabilitation Center,Nurse,40.856593,-73.859642,Pelham Parkway,10461
Bronx Chiropractic Assoc,Acupuncture Clinic,40.853668,-73.853714,Pelham Parkway,10461
We Care Health Service,Nurse,40.853495,-73.854102,Pelham Parkway,10461
Meyer Jack R DDS,Dentist,40.853536,-73.852528,Pelham Parkway,10461
AC Medical Plaza,Physical Therapy Clinic,40.853295,-73.853482,Pelham Parkway,10461
"Rizzo, Mariano Dr - Medical Group of City Islands",Doctor's Office,40.848252,-73.786562,City Island,10464
City Island Physical Therapy,Physical Therapy Clinic,40.851288,-73.788288,City Island,10464
Physical Medicine & Rehabilitation,Doctor's Office,40.871636,-73.887865,Belmont,10458
Mercy Midwives Women's Health Center,Nurse,40.866688,-73.884923,Belmont,10458
Advantage Care Medicine,Doctor's Office,40.872244,-73.887318,Belmont,10458
Essen,Emergency Service,40.867801,-73.883651,Belmont,10458
Doctor's Medical Group,Cardiologist,40.867466,-73.884076,Belmont,10458
Briggs Family Pediatrics,Pediatrician,40.868902,-73.889077,Belmont,10458
New York Sleep Study,Doctor's Office,40.87277,-73.887863,Belmont,10468
Home,Veterinarian,40.873682,-73.886058,Norwood,10458
Lehman College-CUNY Institute,Healthcare Clinic,40.870751,-73.886562,Belmont,10458
Student Health Center Lehman C,Healthcare Clinic,40.870751,-73.886562,Belmont,10458
Bronx Area Health Educati,Healthcare Clinic,40.870852,-73.886829,Belmont,10458
Bedford Park Group Home,Nursing Home,40.871066,-73.886924,Belmont,10458
Geel Community Service,Mental Health Service,40.871392,-73.887392,Belmont,10458
Test DNA Mobile,Health and Medicine,40.870744,-73.882709,Norwood,10458
DC Dental Office PC,Dentist,40.871774,-73.88879,Belmont,10468
New York Sleep Disorder Center,Internal Medicine Doctor,40.872552,-73.887943,Belmont,10468
Ultimate Care,Home Health Care Service,40.874523,-73.886965,Norwood,10468
Morris Heights Health Center,Health and Medicine,40.85473,-73.910348,Morris Heights,10453
Wic,Doctor's Office,40.854792,-73.910044,Morris Heights,10453
Morris Heights Women's Health & Birthing Pavillion,Maternity Clinic,40.854239,-73.910549,Morris Heights,10453
Abboulaye Sherisa-University Medical Associates,Health and Medicine,40.854799,-73.911839,Morris Heights,10453
Jerome Medical Office,Doctor's Office,40.851795,-73.908969,Mount Eden,10453
EZ Dental Care,Dentist,40.859599,-73.908036,University Heights,10453
Interborough Interventional Pain Management,Healthcare Clinic,40.854528,-73.911873,Morris Heights,10453
Puerto Rican Family Institute,Assisted Living Service,40.854326,-73.909283,Morris Heights,10453
Health East Medical Alliance,Health and Medicine,40.854482,-73.911894,Morris Heights,10453
Essen,Physical Therapy Clinic,40.854512,-73.911957,Morris Heights,10453
Pro Form Physical Therapy PC,Physical Therapy Clinic,40.854523,-73.912048,Morris Heights,10453
Yael Levin Belinkie PhD,Psychologist,40.854011,-73.906863,Fordham,10453
Caring Nurses World,Nurse,40.852693,-73.911804,Morris Heights,10453
Montefiore Medical Center Substance Abuse Treatment Program,Health and Medicine,40.853961,-73.90673,Fordham,10453
Puerto Rican Family Institute,Mental Health Clinic,40.856277,-73.914916,Morris Heights,10453
Essen Health Care - Morris Heights Medical Office,Medical Center,40.845968,-73.921004,Morris Heights,10452
Metro UrgiCare,Health and Medicine,40.845849,-73.921437,Morris Heights,10452
Essen Medical Associates,Medical Center,40.845846,-73.921524,Morris Heights,10452
NYC Ems 19C CSL,Emergency Room,40.850222,-73.915387,Morris Heights,10453
Mt Hope Family Practice,Doctor's Office,40.849863,-73.91463,Morris Heights,10453
Bonita Sonrisa Dental Ipa,Dentist,40.847362,-73.91935,Morris Heights,10453
Essen Medical Eye Center Bronx,Optometrist,40.84603,-73.92085,Morris Heights,10452
"Enerolisa Paredes, NP",Nurse,40.846032,-73.921258,Morris Heights,10452
"Mital Saparia, PT",Physical Therapy Clinic,40.846035,-73.921273,Morris Heights,10452
"Barbara Abbey Mensah, NP",Nurse,40.846012,-73.921258,Morris Heights,10452
"Khalil Alsoutary, MD",Health and Medicine,40.846012,-73.921258,Morris Heights,10452
Anan Chiropractic PC,Chiropractor,40.847649,-73.916647,Highbridge,10453
Angels Unaware,Healthcare Clinic,40.84967,-73.921842,Morris Heights,10453
Essen,Cardiologist,40.845741,-73.921433,Morris Heights,10452
Insight Medical PC,Pediatrician,40.849633,-73.917203,Morris Heights,10453
University Avenue Dental & Medical,Dentist,40.849627,-73.917106,Morris Heights,10453
Institute For Family Health,Health and Medicine,40.849863,-73.91463,Morris Heights,10453
Walton Family Health Center,Physician,40.849866,-73.914542,Morris Heights,10453
Union Community Health Centers,Hospital,40.860671,-73.895994,Fordham,10458
Poe Medical & Dental,Doctor's Office,40.86063,-73.897569,Fordham,10458
Bronxcare Dental,Dentist,40.86069,-73.897352,Fordham,10457
Bronx-Lebanon Poe Clinic,Doctor's Office,40.860687,-73.897439,Fordham,10458
Alliance for Health,Health and Medicine,40.861997,-73.896963,Fordham,10458
Mobile Health,Health and Medicine,40.862049,-73.897009,Fordham,10458
Medikids Pediatric Medicine,Pediatrician,40.860481,-73.895024,Fordham,10458
Vista Medical Rehabilitation P.c,Chiropractor,40.861994,-73.89705,Fordham,10458
Cohen's Fashion Optical,Ophthalmologist,40.862292,-73.897856,Fordham,10468
New Life Nutritional Center,Nutritionist,40.861744,-73.898354,Fordham,10468
Manhattan Oral Facial Surgery,Dentist,40.860132,-73.898032,Fordham,10468
Dental Oral Surgery,Dentist,40.860332,-73.898652,Fordham,10468
Lens Lab Express,Optometrist,40.862435,-73.898774,Fordham,10468
Bronx Eye Care Optometry,Optometrist,40.859367,-73.898353,Fordham,10458
General Dental Services,Dentist,40.859312,-73.898395,Fordham,10458
American Dental Centers,Dentist,40.863349,-73.896882,Fordham,10468
Urgent Care Grand Concourse Montefiore Medical Group,Urgent Care Center,40.863262,-73.896091,Fordham,10458
Executive Dental Associates,Dentist,40.862194,-73.893556,Belmont,10458
"Montefiore Medical Group, Fordham Family Practice",Doctor's Office,40.863377,-73.895832,Fordham,10458
Bronx Vet Center,Veterinarian,40.859998,-73.892817,Belmont,10458
Good Shepherd Services,Mental Health Clinic,40.862785,-73.899882,Fordham,10468
Montefiore Medical Center,Medical Center,40.863648,-73.895799,Fordham,10458
"Esperanza A. Rodriguez, DDS",Dentist,40.861136,-73.900958,Fordham,10468
CityMD Fordham Urgent Care - Bronx,Health and Medicine,40.861592,-73.891782,Belmont,10458
Doshi Diagnostic Imaging,Doctor's Office,40.860177,-73.892167,Belmont,10458
City MD,Urgent Care Center,40.861592,-73.891782,Belmont,10458
Cooperative Home Care Associates,Home Health Care Service,40.86144,-73.891382,Belmont,10458
Sheldon Medical Care,Physician,40.862305,-73.901703,Fordham,10468
Jerome Pediatric Dental Empowered by hellosmile,Dentist,40.860945,-73.902046,Fordham,10468
CityMD West Fordham-University Heights Urgent Care - Bronx,Health and Medicine,40.862635,-73.901452,Fordham,10468
Free Abortion Alternatives-Sheldon Medical Care,Doctor's Office,40.862243,-73.902007,Fordham,10468
Jerome Medical Center,Doctor's Office,40.860945,-73.902046,Fordham,10468
Fordham Tremont Community Mental Health Center,Mental Health Clinic,40.860669,-73.896082,Fordham,10458
Pena Omar A MD - Fordham Tremont Mental Health Clinic,Psychiatrist,40.860506,-73.896119,Fordham,10458
Elara Caring,Home Health Care Service,40.861831,-73.897088,Fordham,10458
Heart To Heart Home Care,Home Health Care Service,40.861997,-73.896963,Fordham,10458
Tri Center,Mental Health Clinic,40.861997,-73.896963,Fordham,10458
Family Aides,Nurse,40.861997,-73.896963,Fordham,10458
Progressive Home Health Services,Home Health Care Service,40.862008,-73.897,Fordham,10458
Zeren Health Bronx,Health and Medicine,40.862047,-73.896955,Fordham,10458
Zeren Chiropractic,Physical Therapy Clinic,40.862049,-73.897009,Fordham,10458
Mental Health Association of New York City,Mental Health Service,40.862049,-73.897009,Fordham,10458
New York Dental Health,Dentist,40.861863,-73.897921,Fordham,10468
Superior Dental,Dentist,40.862084,-73.897754,Fordham,10468
Fordham Eyes,Optometrist,40.862563,-73.896484,Fordham,10458
X Treme Care,Home Health Care Service,40.862738,-73.897516,Fordham,10468
USA Optical,Optometrist,40.861856,-73.894068,Belmont,10458
Family Footcare of Bronx,Podiatrist,40.863294,-73.896924,Fordham,10468
National Dental Bronx,Dentist,40.863363,-73.896836,Fordham,10468
"Ghobashy, Ibrahim Executive Dental Associates",Dentist,40.862509,-73.893918,Belmont,10458
Dental Smile,Dentist,40.842999,-73.88597,East Tremont,10460
Gorgeous Smile,Dentist,40.843052,-73.886016,East Tremont,10460
Primary Vision Care,Optometrist,40.843107,-73.885974,East Tremont,10460
East Tremont Medical Center,Chiropractor,40.841442,-73.88355,West Farms,10460
The ReHab Group,Chiropractor,40.841566,-73.882941,West Farms,10460
I Smile Dental Center,Dentist,40.84648,-73.885049,East Tremont,10460
Bronx Imaging NYC,Health and Medicine,40.843031,-73.886803,East Tremont,10460
Damon Reardon,Mental Health Service,40.842223,-73.886729,East Tremont,10460
