,Venue,Category,Latitude_x,Longitude_x,Neighborhood,ZIP,Borough,Longitude_y,Latitude_y
148,LEG Foot & Ankle Associates,Podiatrist,40.86771,-73.922133,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
149,"Elizabeth Youngewirth, DPM",Podiatrist,40.867655,-73.922175,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
150,Radical Anger Dynamics,Health and Medicine,40.868606,-73.920941,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
151,Family Dental PC,Dentist,40.868803,-73.921649,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
152,Broadway Dental Office,Dentist,40.868478,-73.919666,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
153,AAA Uptown Dental,Dentist,40.867678,-73.923358,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
154,Amber Medical Spa,Nutritionist,40.866041,-73.919881,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
155,Uptown Star Dental Center,Dentist,40.867508,-73.923658,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
156,Evydent Dentistry PC,Dentist,40.867551,-73.924054,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
157,"Nonyelu Anyichie, MD",Doctor's Office,40.868135,-73.92447,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
158,Pediatrics 207,Pediatrician,40.865122,-73.919341,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
159,Inwood Acupuncture,Acupuncture Clinic,40.868873,-73.916967,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
160,Mta,Medical Center,40.86605,-73.917473,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
161,Premium Therapy Speech Services PC,Pathologist,40.868875,-73.916879,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
162,"Mount Sinai Doctors-Inwood, Urgent Care",Emergency Service,40.868983,-73.916883,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
163,"Aguilar Chiropractic, PC - Inwood Chiropractor",Chiropractor,40.868772,-73.9167,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
164,Mount Sinai Doctors 5030 Broadway,Doctor's Office,40.868827,-73.916659,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
165,New York Presbyterian Hospital,Hospital,40.866083,-73.92645,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
166,Broadway Practice Intenal Medicine,Doctor's Office,40.866085,-73.926362,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
167,iSmile Orthodontics - Inwood,Dentist,40.865915,-73.926662,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
168,Manhattan Gastroenterology Associates PC,Gastroenterologist,40.867604,-73.922042,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
169,Body Sculpt Studio,Health and Medicine,40.867634,-73.920904,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
170,Lesthetic Med Spa,Health and Medicine,40.867487,-73.921961,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
171,Inwood Foot Care,Podiatrist,40.867756,-73.920384,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
172,Devin J Platt,Dentist,40.867756,-73.920384,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
173,"Irina Blustein, DPM",Podiatrist,40.867712,-73.922046,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
174,"Eliezer Eisenberger, DPM",Podiatrist,40.86771,-73.922133,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
175,Broadway Manhattan Medical Office,Medical Center,40.867655,-73.922175,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
176,Stacey P Blau DDS,Dentist,40.867763,-73.920121,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
177,North Manhattan Eye Center,Physician,40.867873,-73.920038,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
178,American College,Dentist,40.866704,-73.920267,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
179,Nutrilife,Nutritionist,40.866626,-73.920209,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
180,Trinity Medical Group,Pediatrician,40.866357,-73.922213,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
181,Teodoro E Regus Drden,Dentist,40.866054,-73.919857,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
182,Health Plus Prepaid Health Services Plan,Hospital,40.865547,-73.920169,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
183,Celebrity Dental PC,Dentist,40.865549,-73.920081,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
184,Sheldon Medical Care,Health and Medicine,40.865726,-73.919519,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
185,Keep It Up,Home Health Care Service,40.866734,-73.918156,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
186,Sherman Dental Associates,Dentist,40.864611,-73.922848,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
187,Zappala Cirino PhD,Psychologist,40.868871,-73.917054,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
188,Jimenez Family Dental P C,Dentist,40.86649,-73.925371,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
189,City Currents Acupuncture,Acupuncture Clinic,40.868873,-73.916967,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
190,Dominican Medical Association,Healthcare Clinic,40.868873,-73.916967,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
191,Sacred Tao Acupuncture,Acupuncture Clinic,40.868928,-73.916925,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
192,David Emil Aguilar,Chiropractor,40.869036,-73.916929,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
193,"Oh, Jennifer: Jennifer Oh",Acupuncture Clinic,40.868878,-73.916792,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
194,Salud Para Todos,Healthcare Clinic,40.866375,-73.925629,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
195,Riverdale Eye Associates,Optometrist,40.878709,-73.914842,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
196,Riverdale Pediatrics PC,Pediatrician,40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
197,"Comprehensive Dental Care, Dr Madeline Ginzburg",Dentist,40.878473,-73.915621,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
198,"Nydia Elena Providence, MD",Doctor's Office,40.878769,-73.914625,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
199,Riverdale Periodontics Dr.Sandra Molinas,Dentist,40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
200,Preferred Home Care,Home Health Care Service,40.875119,-73.909583,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
201,Hudson Physical Therapy,Physical Therapy Clinic,40.87861,-73.914791,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
202,Montefiore Medical Center,Plastic Surgeon,40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
203,"Sandra Molinas, DDS",Dentist,40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
204,Ear Nose & Throat Associates Of New York PC,"Ear, Nose and Throat Doctor",40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
205,Reddy Sarina DDS,Dentist,40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
206,"Jakob C Melamed, MD",General Surgeon,40.878712,-73.914754,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
207,Su James Y DDS,Dentist,40.878709,-73.914842,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
208,Podiatry Associates of Riverdale,Podiatrist,40.878353,-73.916055,Marble Hill,10463,Manhattan,-73.91065965862981,40.87655077879964
